PD Grade,Seniority,LT Seniority,Employee Level,CPH_1,CPH_2,CPH_3,CPH_4,CPH_5
TT14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
TT6,No,No,6,Other,Other,Other,Other,Other
TT8,No,No,8,Other,Other,Other,Other,Other
TT9,No,No,9,Other,Other,Other,Other,Other
U1,Yes,No,299,Consulting Position,Partner,Senior Advisor,Sr Adv,U1
U3,Yes,No,300,Consulting Position,Partner,Senior Advisor,Sr Adv,U3
V1,Yes,Partner,14,Consulting Position,Partner,Partner,P,V1
V3,Yes,Senior Partner,14,Consulting Position,Partner,Senior Partner,Sr P,V3
V6,Yes,Senior Partner,14,Consulting Position,Partner,Senior Partner,Sr P,V6
V7,Yes,Advisory Partner,14,Consulting Position,Partner,Advisory Partner,Adv P,V7
W1,No,No,1,Other,Other,Other,Other,Other
W2,No,No,2,Other,Other,Other,Other,Other
W3,No,No,6,Other,Other,Other,Other,Other
W4,No,No,4,Other,Other,Other,Other,Other
W5,No,No,8,Other,Other,Other,Other,Other
W6,No,No,8,Other,Other,Other,Other,Other
W7,No,No,12,Other,Other,Other,Other,Other
W8,No,No,12,Other,Other,Other,Other,Other
W9,No,No,14,Other,Other,Other,Other,Other
